Title,Author
In Search of Lost Time ,Marcel Proust
Don Quixote,Miguel de Cervantes
Ulysses,James Joyce
The Great Gatsby ,F. Scott Fitzgerald
Moby Dick,Herman Melville
Hamlet,William Shakespeare
War and Peace,Leo Tolstoy
The Odyssey,Homer
One Hundred Years of Solitude ,Gabriel Garcia Marquez
The Divine Comedy ,Dante Alighieri
The Brothers Karamazov ,Fyodor Dostoyevsky
Madame Bovary,Gustave Flaubert
The Adventures of Huckleberry Finn,Mark Twain
The Iliad,Homer
Lolita ,Vladimir Nabokov
Crime and Punishment ,Fyodor Dostoyevsky
Alice's Adventures in Wonderland ,Lewis Carroll
Wuthering Heights,Emily Brontë
Pride and Prejudice,Jane Austen
The Catcher in the Rye,J. D. Salinger
The Sound and the Fury,William Faulkner
To the Lighthouse ,Virginia Woolf
Heart of Darkness,Joseph Conrad
Anna Karenina,Leo Tolstoy
Nineteen Eighty Four,George Orwell
Great Expectations,Charles Dickens
Middlemarch,George Eliot
Gulliver's Travels,Jonathan Swift
Catch-22 ,Joseph Heller
One Thousand and One Nights,India/Iran/Iraq/Egypt
The Grapes of Wrath ,John Steinbeck
The Stories of Anton Chekhov,Anton Chekhov
"Absalom, Absalom!",William Faulkner
Jane Eyre,Charlotte Bronte
The Trial,Franz Kafka
Invisible Man ,Ralph Ellison
Mrs. Dalloway ,Virginia Woolf
The Red and the Black,Stendhal
The Aeneid,Virgil
David Copperfield,Charles Dickens
Beloved,Toni Morrison
The Stranger ,Albert Camus
Leaves of Grass,Walt Whitman
To Kill a Mockingbird ,Harper Lee
A Portrait of the Artist as a Young Man ,James Joyce
The Sun Also Rises ,Ernest Hemingway
Collected Fiction,Jorge Luis Borges
Oedipus the King,Sophocles
Candide,Voltaire
The Canterbury Tales,Geoffrey Chaucer
